track_name,artist_name,first_play,album,release_date
I Had Some Help (Feat. Morgan Wallen),Post Malone,2025-05-10 19:03:33.468000+00:00,F-1 Trillion,2024-08-15
Cough (Odo),Kizz Daniel,2025-05-01 14:22:42.310000+00:00,Maverick,2023-07-27
Second Sermon - Remix,Black Sherif,2025-05-01 15:28:56.433000+00:00,The Villain I Never Was,2022-10-05
Kwaku The Traveller,Black Sherif,2025-05-01 14:04:37.046000+00:00,The Villain I Never Was,2022-10-05
Mama Stay,WSTRN,2025-05-01 13:39:38.719000+00:00,WSTRN Season 3,2022-09-08
Girlfriend,Ruger,2025-05-01 13:51:09.248000+00:00,The Second Wave (Deluxe),2022-06-17
Finesse,Pheelz,2025-05-01 13:33:20.743000+00:00,Finesse,2022-03-03
Always (feat. Black Sherif),Darkoo,2025-05-01 14:07:12.102000+00:00,Always (feat. Black Sherif),2022-02-24
Peru - Remix,Fireboy DML,2025-05-01 13:36:27.844000+00:00,Peru (Remix),2022-02-11
Lie,Kizz Daniel,2025-05-01 13:56:22.714000+00:00,Barnabas,2021-11-18
